product_id,product_name,category,cost_price,retail_price
1,Nimko Mix 400g,Grocery,568.03,715.23
2,Sprite 1.5L,Beverages,450.62,566.23
3,Sufi Banaspati 1kg,Grocery,235.53,311.35
4,Tea Whitener 1kg,Grocery,178.11,201.09
5,National Ketchup 1kg,Grocery,298.97,335.13
6,Shan Biryani Masala,Grocery,486.65,606.63
7,Ariel Washing Powder 1kg,Household,382.54,491.64
8,Rice Basmati 5kg,Grocery,434.94,548.34
9,None,Other,,546.15
10,Pepsi 1.5L,Beverages,707.86,815.2
11,Dove Shampoo 360ml,Personal Care,283.01,376.78
12,Wheat Flour 10kg,Grocery,388.37,467.06
13,Dettol Handwash 200ml,Personal Care,327.54,386.73
14,Olpers Milk 1L,Grocery,79.57,100.09
15,Coca Cola 1.5L,Beverages,313.15,374.08
16,Tapal Danedar 950g,Grocery,736.46,891.92
17,Colgate Toothpaste 100ml,Personal Care,286.07,357.09
18,Lux Soap 110g,Personal Care,283.55,361.73
19,Surf Excel 1kg,Household,130.0,153.28
20,Lifebuoy Soap 110g,Personal Care,150.0,198.91
21,Nestle Milk Pack 1L,Grocery,286.66,310.0
22,Dalda Cooking Oil 1L,Grocery,134.03,149.34
23,Tissue Roll Rose Petal,Household,540.51,629.21
