sale_id,customer_id,quantity,price,date,product_name,product_id
1,17,2.0,715.23,2025-08-01,Nimko Mix 400g,1
2,4,2.0,310.0,2025-08-01,Nestle Milk Pack 1L,21
3,12,2.0,815.2,2025-08-01,Pepsi 1.5L,10
4,17,1.0,606.63,2025-08-01,Shan Biryani Masala,6
5,19,1.0,201.09,2025-08-01,Tea Whitener 1kg,4
6,19,1.0,361.73,2025-08-01,Lux Soap 110g,18
7,12,1.0,715.23,2025-08-01,Nimko Mix 400g,1
8,11,2.0,491.64,2025-08-01,Ariel Washing Powder 1kg,7
9,13,3.0,715.23,2025-08-01,Nimko Mix 400g,1
10,18,2.0,374.08,2025-08-01,Coca Cola 1.5L,15
11,20,2.0,,2025-08-01,nan,
12,6,1.0,715.23,2025-08-01,Nimko Mix 400g,1
13,10,2.0,606.63,2025-08-01,Shan Biryani Masala,6
14,15,1.0,361.73,2025-08-01,Lux Soap 110g,18
15,3,3.0,149.34,2025-08-01,Dalda Cooking Oil 1L,22
16,13,1.0,629.21,2025-08-01,Tissue Roll Rose Petal,23
17,4,1.0,566.23,2025-08-01,Sprite 1.5L,2
18,11,20.0,361.73,2025-08-01,Lux Soap 110g,18
19,1,4.0,311.35,2025-08-01,Sufi Banaspati 1kg,3
20,3,2.0,548.34,2025-08-01,Rice Basmati 5kg,8
21,18,1.0,357.09,2025-08-01,Colgate Toothpaste 100ml,17
22,4,2.0,153.28,2025-08-01,Surf Excel 1kg,19
23,20,1.0,201.09,2025-08-01,Tea Whitener 1kg,4
24,14,1.0,566.23,2025-08-01,Sprite 1.5L,2
25,6,1.0,311.35,2025-08-01,Sufi Banaspati 1kg,3
26,5,1.0,201.09,2025-08-01,Tea Whitener 1kg,4
27,8,3.0,198.91,2025-08-01,Lifebuoy Soap 110g,20
28,20,1.0,335.13,2025-08-01,National Ketchup 1kg,5
29,20,1.0,,2025-08-01,nan,
30,3,2.0,606.63,2025-08-01,Shan Biryani Masala,6
31,19,4.0,361.73,2025-08-01,Lux Soap 110g,18
32,13,1.0,198.91,2025-08-01,Lifebuoy Soap 110g,20
33,10,5.0,566.23,2025-08-01,Sprite 1.5L,2
34,19,2.0,715.23,2025-08-01,Nimko Mix 400g,1
35,18,5.0,566.23,2025-08-01,Sprite 1.5L,2
36,16,1.0,361.73,2025-08-01,Lux Soap 110g,18
37,8,2.0,386.73,2025-08-01,Dettol Handwash 200ml,13
38,20,3.0,,2025-08-01,nan,
39,7,2.0,153.28,2025-08-01,Surf Excel 1kg,19
40,11,4.0,386.73,2025-08-01,Dettol Handwash 200ml,13
41,1,1.0,815.2,2025-08-01,Pepsi 1.5L,10
42,2,2.0,715.23,2025-08-01,Nimko Mix 400g,1
43,9,2.0,361.73,2025-08-01,Lux Soap 110g,18
44,15,5.0,335.13,2025-08-01,National Ketchup 1kg,5
45,6,4.0,357.09,2025-08-01,Colgate Toothpaste 100ml,17
46,14,3.0,815.2,2025-08-01,Pepsi 1.5L,10
47,17,1.0,335.13,2025-08-01,National Ketchup 1kg,5
48,1,1.0,361.73,2025-08-01,Lux Soap 110g,18
49,13,1.0,566.23,2025-08-01,Sprite 1.5L,2
50,14,5.0,201.09,2025-08-01,Tea Whitener 1kg,4
51,14,4.0,629.21,2025-08-01,Tissue Roll Rose Petal,23
52,17,3.0,361.73,2025-08-01,Lux Soap 110g,18
53,7,1.0,198.91,2025-08-01,Lifebuoy Soap 110g,20
54,17,2.0,311.35,2025-08-01,Sufi Banaspati 1kg,3
55,20,,491.64,2025-08-01,Ariel Washing Powder 1kg,7
56,17,2.0,629.21,2025-08-01,Tissue Roll Rose Petal,23
57,17,,311.35,2025-08-01,Sufi Banaspati 1kg,3
58,3,1.0,100.09,2025-08-01,Olpers Milk 1L,14
59,13,1.0,891.92,2025-08-01,Tapal Danedar 950g,16
60,20,1.0,891.92,2025-08-01,Tapal Danedar 950g,16
61,10,3.0,715.23,2025-08-01,Nimko Mix 400g,1
62,5,1.0,361.73,2025-08-01,Lux Soap 110g,18
63,17,1.0,376.78,2025-08-01,Dove Shampoo 360ml,11
64,2,1.0,310.0,2025-08-01,Nestle Milk Pack 1L,21
65,3,1.0,376.78,2025-08-01,Dove Shampoo 360ml,11
66,5,2.0,815.2,2025-08-01,Pepsi 1.5L,10
67,17,2.0,335.13,2025-08-01,National Ketchup 1kg,5
68,8,2.0,153.28,2025-08-01,Surf Excel 1kg,19
69,9,1.0,467.06,2025-08-01,Wheat Flour 10kg,12
70,17,2.0,606.63,2025-08-01,Shan Biryani Masala,6
71,12,10.0,100.09,2025-08-01,Olpers Milk 1L,14
72,17,4.0,566.23,2025-08-01,Sprite 1.5L,2
73,20,3.0,100.09,2025-08-01,Olpers Milk 1L,14
74,12,2.0,374.08,2025-08-01,Coca Cola 1.5L,15
75,10,1.0,815.2,2025-08-01,Pepsi 1.5L,10
76,18,1.0,566.23,2025-08-01,Sprite 1.5L,2
77,19,1.0,198.91,2025-08-01,Lifebuoy Soap 110g,20
78,17,1.0,715.23,2025-08-01,Nimko Mix 400g,1
79,14,5.0,467.06,2025-08-01,Wheat Flour 10kg,12
80,18,2.0,361.73,2025-08-01,Lux Soap 110g,18
81,16,4.0,566.23,2025-08-01,Sprite 1.5L,2
82,8,1.0,467.06,2025-08-01,Wheat Flour 10kg,12
83,3,5.0,,2025-08-01,None,
84,12,2.0,311.35,2025-08-01,Sufi Banaspati 1kg,3
85,8,2.0,376.78,2025-08-02,Dove Shampoo 360ml,11
86,9,2.0,566.23,2025-08-02,Sprite 1.5L,2
87,19,2.0,357.09,2025-08-02,Colgate Toothpaste 100ml,17
88,5,,606.63,2025-08-02,Shan Biryani Masala,6
89,10,4.0,376.78,2025-08-02,Dove Shampoo 360ml,11
90,3,1.0,606.63,2025-08-02,Shan Biryani Masala,6
91,2,1.0,566.23,2025-08-02,Sprite 1.5L,2
92,17,3.0,376.78,2025-08-02,Dove Shampoo 360ml,11
93,6,3.0,891.92,2025-08-02,Tapal Danedar 950g,16
94,12,5.0,386.73,2025-08-02,Dettol Handwash 200ml,13
95,16,1.0,201.09,2025-08-02,Tea Whitener 1kg,4
96,9,20.0,891.92,2025-08-02,Tapal Danedar 950g,16
97,16,10.0,376.78,2025-08-02,Dove Shampoo 360ml,11
98,11,4.0,149.34,2025-08-02,Dalda Cooking Oil 1L,22
99,7,5.0,606.63,2025-08-02,Shan Biryani Masala,6
100,5,2.0,374.08,2025-08-02,Coca Cola 1.5L,15
101,6,1.0,386.73,2025-08-02,Dettol Handwash 200ml,13
102,4,4.0,715.23,2025-08-02,Nimko Mix 400g,1
103,8,,357.09,2025-08-02,Colgate Toothpaste 100ml,17
104,11,20.0,815.2,2025-08-02,Pepsi 1.5L,10
105,15,1.0,815.2,2025-08-02,Pepsi 1.5L,10
106,18,1.0,357.09,2025-08-02,Colgate Toothpaste 100ml,17
107,19,2.0,715.23,2025-08-02,Nimko Mix 400g,1
108,19,10.0,815.2,2025-08-02,Pepsi 1.5L,10
109,18,2.0,715.23,2025-08-02,Nimko Mix 400g,1
110,16,2.0,815.2,2025-08-02,Pepsi 1.5L,10
111,5,2.0,311.35,2025-08-02,Sufi Banaspati 1kg,3
112,19,4.0,310.0,2025-08-02,Nestle Milk Pack 1L,21
113,15,1.0,386.73,2025-08-02,Dettol Handwash 200ml,13
114,13,2.0,376.78,2025-08-02,Dove Shampoo 360ml,11
115,11,1.0,891.92,2025-08-02,Tapal Danedar 950g,16
116,19,1.0,357.09,2025-08-02,Colgate Toothpaste 100ml,17
117,1,3.0,386.73,2025-08-02,Dettol Handwash 200ml,13
118,8,4.0,311.35,2025-08-02,Sufi Banaspati 1kg,3
119,1,2.0,149.34,2025-08-02,Dalda Cooking Oil 1L,22
120,3,2.0,467.06,2025-08-02,Wheat Flour 10kg,12
121,18,1.0,566.23,2025-08-02,Sprite 1.5L,2
122,3,3.0,467.06,2025-08-02,Wheat Flour 10kg,12
123,16,3.0,201.09,2025-08-02,Tea Whitener 1kg,4
124,18,10.0,361.73,2025-08-02,Lux Soap 110g,18
125,20,1.0,629.21,2025-08-02,Tissue Roll Rose Petal,23
126,11,2.0,100.09,2025-08-02,Olpers Milk 1L,14
127,7,,374.08,2025-08-02,Coca Cola 1.5L,15
128,3,2.0,815.2,2025-08-02,Pepsi 1.5L,10
129,3,10.0,,2025-08-02,nan,
130,2,2.0,606.63,2025-08-02,Shan Biryani Masala,6
131,9,1.0,201.09,2025-08-02,Tea Whitener 1kg,4
132,13,20.0,198.91,2025-08-02,Lifebuoy Soap 110g,20
133,15,2.0,815.2,2025-08-02,Pepsi 1.5L,10
134,6,2.0,,2025-08-02,nan,
135,13,2.0,815.2,2025-08-02,Pepsi 1.5L,10
136,15,2.0,,2025-08-02,nan,
137,1,2.0,,2025-08-02,nan,
138,15,2.0,629.21,2025-08-02,Tissue Roll Rose Petal,23
139,20,3.0,311.35,2025-08-02,Sufi Banaspati 1kg,3
140,6,1.0,467.06,2025-08-02,Wheat Flour 10kg,12
141,11,1.0,467.06,2025-08-02,Wheat Flour 10kg,12
142,11,4.0,715.23,2025-08-02,Nimko Mix 400g,1
143,18,1.0,566.23,2025-08-02,Sprite 1.5L,2
144,15,2.0,629.21,2025-08-02,Tissue Roll Rose Petal,23
145,8,1.0,361.73,2025-08-02,Lux Soap 110g,18
146,13,1.0,,2025-08-02,nan,
147,1,1.0,548.34,2025-08-02,Rice Basmati 5kg,8
148,6,,153.28,2025-08-02,Surf Excel 1kg,19
149,11,4.0,153.28,2025-08-02,Surf Excel 1kg,19
150,20,2.0,548.34,2025-08-02,Rice Basmati 5kg,8
151,10,2.0,357.09,2025-08-02,Colgate Toothpaste 100ml,17
152,12,2.0,715.23,2025-08-02,Nimko Mix 400g,1
153,8,2.0,100.09,2025-08-02,Olpers Milk 1L,14
