product_name,total_sold,cost_price,retail_price,profit_margin_per_product,,,Revenue,Profit,P Margin,,,,,High Revenue & Low Profit,,% Poducts with High Revenue & Low Profit
Sprite 1.5L,1514,450.62,566.23,116,,,914779.17,188268.8,21%,,Avg Revenue,409609.4805,,No,,18%
Lux Soap 110g,1287,283.55,361.73,78,,,857272.22,175033.54,20%,,Avg Margin,18%,,No,,
Nimko Mix 400g,1279,568.03,715.23,147,,,816830.4,107554.68,13%,,,,,Yes,,
Tea Whitener 1kg,1240,178.11,201.09,23,,,622402.38,123099.48,20%,,,,,No,,
Colgate Toothpaste 100ml,1032,286.07,357.09,71,,,609181.36,106179.18,17%,,,,,Yes,,
Shan Biryani Masala,1026,486.65,606.63,120,,,548671.12,77346.4,14%,,,,,Yes,,
Lifebuoy Soap 110g,1010,150,198.91,49,,,465546.51,100617.66,22%,,,,,No,,
Pepsi 1.5L,1002,707.86,815.2,107,,,461153.94,95369.4,21%,,,,,No,,
Sufi Banaspati 1kg,977,235.53,311.35,76,,,437559.6,97099,22%,,,,,No,,
Olpers Milk 1L,964,79.57,100.09,21,,,432030.5,72788.25,17%,,,,,Yes,,
Wheat Flour 10kg,925,388.37,467.06,79,,,368516.88,73292.64,20%,,,,,No,,
National Ketchup 1kg,914,298.97,335.13,36,,,343416.24,52560.72,15%,,,,,No,,
Ariel Washing Powder 1kg,890,382.54,491.64,109,,,306308.82,33050.24,11%,,,,,No,,
Dettol Handwash 200ml,888,327.54,386.73,59,,,304501.12,49597.02,16%,,,,,No,,
Tissue Roll Rose Petal,872,540.51,629.21,89,,,304188.95,74076.14,24%,,,,,No,,
Surf Excel 1kg,853,130,153.28,23,,,281831.44,70139.96,25%,,,,,No,,
Rice Basmati 5kg,841,434.94,548.34,113,,,249351.6,28495.2,11%,,,,,No,,
Coca Cola 1.5L,814,313.15,374.08,61,,,200899.1,49399.1,25%,,,,,No,,
Dove Shampoo 360ml,748,283.01,376.78,94,,,156240,11763.36,8%,,,,,No,,
Dalda Cooking Oil 1L,693,134.03,149.34,15,,,130747.84,19857.84,15%,,,,,No,,
Tapal Danedar 950g,683,736.46,891.92,155,,,103492.62,10609.83,10%,,,,,No,,
Nestle Milk Pack 1L,504,286.66,310,23,,,96486.76,19781.28,21%,,,,,No,,
