"product_name","total_profit","month"
"Sprite 1.5L","57227","8"
"Nimko Mix 400g","51078","8"
"Pepsi 1.5L","39716","8"
"Shan Biryani Masala","34914","8"
"Tapal Danedar 950g","30470","8"
"Lux Soap 110g","29787","8"
"Tissue Roll Rose Petal","28295","8"
"Wheat Flour 10kg","25023","8"
"Rice Basmati 5kg","24948","8"
"Dove Shampoo 360ml","22974","8"
"Ariel Washing Powder 1kg","21711","8"
"Colgate Toothpaste 100ml","18891","8"
"Sufi Banaspati 1kg","17742","8"
"Dettol Handwash 200ml","15034","8"
"Lifebuoy Soap 110g","13646","8"
"Coca Cola 1.5L","13222","8"
"National Ketchup 1kg","10414","8"
"Tea Whitener 1kg","7721","8"
"Surf Excel 1kg","5215","8"
"Olpers Milk 1L","4843","8"
"Nestle Milk Pack 1L","3058","8"
"Dalda Cooking Oil 1L","2618","8"
"Nimko Mix 400g","45043","9"
"Sprite 1.5L","42776","9"
"Rice Basmati 5kg","33907","9"
"Tapal Danedar 950g","33579","9"
"Shan Biryani Masala","30115","9"
"Ariel Washing Powder 1kg","28584","9"
"Sufi Banaspati 1kg","23807","9"
"Pepsi 1.5L","23078","9"
"Lux Soap 110g","21969","9"
"Colgate Toothpaste 100ml","19033","9"
"Dove Shampoo 360ml","18098","9"
"Tissue Roll Rose Petal","17651","9"
"Wheat Flour 10kg","17076","9"
"Coca Cola 1.5L","13892","9"
"Lifebuoy Soap 110g","12814","9"
"Dettol Handwash 200ml","11187","9"
"National Ketchup 1kg","9257","9"
"Tea Whitener 1kg","8135","9"
"Olpers Milk 1L","5417","9"
"Surf Excel 1kg","5215","9"
"Dalda Cooking Oil 1L","2434","9"
"Nestle Milk Pack 1L","2171","9"
"Nimko Mix 400g","56525","10"
"Sprite 1.5L","51678","10"
"Shan Biryani Masala","38994","10"
"Ariel Washing Powder 1kg","35785","10"
"Lux Soap 110g","31507","10"
"Tapal Danedar 950g","29382","10"
"Pepsi 1.5L","28874","10"
"Colgate Toothpaste 100ml","24360","10"
"Sufi Banaspati 1kg","22064","10"
"Tissue Roll Rose Petal","21643","10"
"Rice Basmati 5kg","21319","10"
"Wheat Flour 10kg","21089","10"
"Dove Shampoo 360ml","20442","10"
"Dettol Handwash 200ml","18408","10"
"Lifebuoy Soap 110g","16042","10"
"Coca Cola 1.5L","14928","10"
"Tea Whitener 1kg","9353","10"
"National Ketchup 1kg","8606","10"
"Olpers Milk 1L","6546","10"
"Surf Excel 1kg","5215","10"
"Nestle Milk Pack 1L","5205","10"
"Dalda Cooking Oil 1L","3919","10"
"Nimko Mix 400g","35622","11"
"Sprite 1.5L","23353","11"
"Shan Biryani Masala","19077","11"
"Lux Soap 110g","17356","11"
"Pepsi 1.5L","15886","11"
"Rice Basmati 5kg","15196","11"
"Tapal Danedar 950g","12748","11"
"Ariel Washing Powder 1kg","11019","11"
"Colgate Toothpaste 100ml","11008","11"
"Sufi Banaspati 1kg","10463","11"
"Tissue Roll Rose Petal","9757","11"
"Wheat Flour 10kg","9600","11"
"Dove Shampoo 360ml","8627","11"
"Dettol Handwash 200ml","7931","11"
"Coca Cola 1.5L","7555","11"
"Lifebuoy Soap 110g","6896","11"
"National Ketchup 1kg","4773","11"
"Surf Excel 1kg","4214","11"
"Tea Whitener 1kg","3286","11"
"Olpers Milk 1L","2975","11"
"Dalda Cooking Oil 1L","1638","11"
"Nestle Milk Pack 1L","1330","11"
