product_name,total_revenue,month,,,,
nan,,8,,,,
None,,8,,,,
Pepsi 1.5L,301624,8,,,,
Sprite 1.5L,280284,8,,,,
Nimko Mix 400g,248185,8,,,,
Tissue Roll Rose Petal,200718,8,,,,
Shan Biryani Masala,176529,8,,,,
Tapal Danedar 950g,174816,8,,,,
Wheat Flour 10kg,148525,8,,,,
Lux Soap 110g,137819,8,,,,
Rice Basmati 5kg,120635,8,,,,
Dettol Handwash 200ml,98229,8,,,,
Ariel Washing Powder 1kg,97836,8,,,,
National Ketchup 1kg,96517,8,,,,
Colgate Toothpaste 100ml,94986,8,,,,
Dove Shampoo 360ml,92311,8,,,,
Coca Cola 1.5L,81175,8,,,,
Sufi Banaspati 1kg,72856,8,,,,
Tea Whitener 1kg,67566,8,,,,
Lifebuoy Soap 110g,55496,8,,,,
Nestle Milk Pack 1L,40610,8,,,,
Surf Excel 1kg,34335,8,,,,
Dalda Cooking Oil 1L,25537,8,,,,
Olpers Milk 1L,23621,8,,,,
None,,9,,,,
nan,,9,,,,
Nimko Mix 400g,218860,9,,,,
Sprite 1.5L,209505,9,,,,
Tapal Danedar 950g,192655,9,,,,
Pepsi 1.5L,175268,9,,,,
Rice Basmati 5kg,163954,9,,,,
Shan Biryani Masala,152264,9,,,,
Ariel Washing Powder 1kg,128810,9,,,,
Tissue Roll Rose Petal,125213,9,,,,
Lux Soap 110g,101646,9,,,,
Wheat Flour 10kg,101352,9,,,,
Sufi Banaspati 1kg,97764,9,,,,
Colgate Toothpaste 100ml,95700,9,,,,
National Ketchup 1kg,85793,9,,,,
Coca Cola 1.5L,85290,9,,,,
Dettol Handwash 200ml,73092,9,,,,
Dove Shampoo 360ml,72719,9,,,,
Tea Whitener 1kg,71186,9,,,,
Lifebuoy Soap 110g,52114,9,,,,
Surf Excel 1kg,34335,9,,,,
Nestle Milk Pack 1L,28830,9,,,,
Olpers Milk 1L,26424,9,,,,
Dalda Cooking Oil 1L,23745,9,,,,
None,,10,,,,
nan,,10,,,,
Nimko Mix 400g,274648,10,,,,
Sprite 1.5L,253105,10,,,,
Pepsi 1.5L,219289,10,,,,
Shan Biryani Masala,197155,10,,,,
Tapal Danedar 950g,168573,10,,,,
Ariel Washing Powder 1kg,161258,10,,,,
Tissue Roll Rose Petal,153527,10,,,,
Lux Soap 110g,145777,10,,,,
Wheat Flour 10kg,125172,10,,,,
Colgate Toothpaste 100ml,122482,10,,,,
Dettol Handwash 200ml,120273,10,,,,
Rice Basmati 5kg,103088,10,,,,
Coca Cola 1.5L,91650,10,,,,
Sufi Banaspati 1kg,90603,10,,,,
Dove Shampoo 360ml,82138,10,,,,
Tea Whitener 1kg,81844,10,,,,
National Ketchup 1kg,79761,10,,,,
Nestle Milk Pack 1L,69130,10,,,,
Lifebuoy Soap 110g,65242,10,,,,
Dalda Cooking Oil 1L,38231,10,,,,
Surf Excel 1kg,34335,10,,,,
Olpers Milk 1L,31929,10,,,,
None,,11,,,,
nan,,11,,,,
Nimko Mix 400g,173086,11,,,,
Pepsi 1.5L,120650,11,,,,
Sprite 1.5L,114378,11,,,,
Shan Biryani Masala,96454,11,,,,
Lux Soap 110g,80304,11,,,,
Rice Basmati 5kg,73478,11,,,,
Tapal Danedar 950g,73137,11,,,,
Tissue Roll Rose Petal,69213,11,,,,
Wheat Flour 10kg,56981,11,,,,
Colgate Toothpaste 100ml,55349,11,,,,
Dettol Handwash 200ml,51822,11,,,,
Ariel Washing Powder 1kg,49656,11,,,,
Coca Cola 1.5L,46386,11,,,,
National Ketchup 1kg,44237,11,,,,
Sufi Banaspati 1kg,42966,11,,,,
Dove Shampoo 360ml,34664,11,,,,
Tea Whitener 1kg,28756,11,,,,
Lifebuoy Soap 110g,28046,11,,,,
Surf Excel 1kg,27744,11,,,,
Nestle Milk Pack 1L,17670,11,,,,
Dalda Cooking Oil 1L,15979,11,,,,
Olpers Milk 1L,14513,11,,,,
