product_id,product_name,category,cost_price,retail_price
1,Nimko Mix 400g,Personal Care,568.03,715.23
2,Sprite 1.5L,Household,450.62,566.23
3,Sufi Banaspati 1kg,Personal Care,235.53,311.35---
4,Nimko Mix 400g,,496.49 ,587.27
5,Tea Whitener 1kg,Household ,178.11,201.09
6,Sprite 1.5L,Grocery,255.2,284.23
7,Sufi Banaspati 1kg,Beverages,287.34,378.16
8,National Ketchup 1kg,Personal Care,298.97,335.13
9,Shan Biryani Masala,Personal Care,486.65,606.63
10,Tea Whitener 1kg,Personal Care,147.12,173.6
11,Ariel Washing Powder 1kg,Beverages,382.54,491.64
12,Nimko Mix 400g,Personal Care,694.72,810.58
13,Rice Basmati 5kg,Personal Care,434.94,548.34
14,,Personal Care??,,546.15
15,Pepsi 1.5L,Household,707.86,815.2
16,Dove Shampoo 360ml,Beverages,283.01,376.78
17,National Ketchup 1kg,Beverages,764.62,1024.6
18,Wheat Flour 10kg,Grocery,388.37,467.06
19,Dettol Handwash 200ml,Household,327.54,386.73
20,Olpers Milk 1L,Personal Care,79.57,100.09
21,Coca Cola 1.5L,Beverages,313.15,374.08
22,Tea Whitener 1kg,Grocery,65.84,85.88
23,Sufi Banaspati 1kg,Grocery,624.29,719.34
24,Tapal Danedar 950g,Household,736.46,891.92
25,Colgate Toothpaste 100ml,Grocery,286.07,357.09
26,Tea Whitener 1kg,Household,637.07 ,
27,Rice Basmati 5kg,Household,392.82,463.93
28,Tea Whitener 1kg,Personal Care,562.39,699.64
29,Lux Soap 110g,Personal Care,283.55,361.73
30,Shan Biryani Masala,Household,256.6,334.63
31,Sprite 1.5L,Personal Care,60.59,79.99
32,Rice Basmati 5kg,Grocery,359.82,478.74
33,Surf Excel 1kg??,Beverages,,153.28
34,Surf Excel 1kg,Personal Care,286.3,378.62
35,Lifebuoy Soap 110g,Beverages,,198.91
36,Olpers Milk 1L,Beverages??,582.31,752.87
37,Lux Soap 110g,Personal Care,591.17,786.8
38,Tea Whitener 1kg,,128.08,147.85
39,Rice Basmati 5kg,Grocery??,173.73,228.38
