sale_id,product_id,customer_id,quantity,price,date
1,84,1077,2,468.69,2025-05-19
2,92,1243,3,261.06,2025-05-19
3,449,2156??,5,944.0,2025-05-19
4,98,18 ,1,332.9,2025-05-19
5,,911,1,None??,2025-05-19
6,203,2567,1,897.73,2025-05-19
7,143,2488,1,181.27,2025-05-19
8,177,1836 ,4,652.82,2025-05-19
9,141,1812,2,602.55,2025-05-19
10,43,,1,152.82,2025-05-19
11,36,2229,3,752.87,2025-05-19
12,335,1083,4,242.79,2025-05-19
13,467,1737,1,943.44,2025-05-19
14,37,,,786.8,2025-05-19
15,179,21,2,355.87,2025-05-19
16,468,1402,1,388.65,2025-05-19
17,80,509,2,402.48,2025-05-19
18,17,1196,3,1024.6,2025-05-19
19,34,1294,4,378.62,2025-05-19
20,415---,765,1,649.87,2025-05-19
21,211,124,5,527.98---,2025-05-19
22,248,78,2,452.25,2025-05-19
23,362,1809,3,763.92,2025-05-19
24,457,1796---,1,353.85,2025-05-19
25,151,2274,1,603.39,2025-05-19
26,303,26,1,261.07,2025-05-19
27,467,918,2---,943.44,2025-05-19
28,25,2660,1??,357.09,2025-05-19
29,46,2389,2,745.3,2025-05-19
30,,1562,1,402.48,2025-05-19
31,236,2745,5,589.35,2025-05-19
32,270,563,4,298.5,2025-05-19
33,428,1612,5,856.4,2025-05-19
34,454,2656,2,690.74,2025-05-19
35,486,1123,1,860.43 ,2025-05-19
36,303,1174,3,261.07,2025-05-19
37,371,136,1,348.36,2025-05-19
38,15,595,5,815.2,2025-05-19
39,376,1074,5,884.87,2025-05-19
40,257 ,1420,1,528.85,2025-05-20
41,108,2678,5,528.81,2025-05-20
42,209,767,3,748.09,2025-05-20
43,55,781,1,182.86,2025-05-20
44,208,2628,5,529.71??,2025-05-20
45,192,2728,4,595.75,2025-05-20
46,262,2468,1,75.74---,2025-05-20
47,87,586,2,379.38,2025-05-20
48,315,1517,2,727.37,2025-05-20
49,86,422,2,,2025-05-20
50,385,704,1,509.11,2025-05-20
51,427,2604,,522.79,2025-05-20
52,410,1305,5,81.87,2025-05-20
53,171,68,1,914.96,2025-05-20
54,178,1256,5,934.32,2025-05-20
55,182,2346,1,378.55 ,2025-05-20
56,58,1964,2,994.69,2025-05-20
57,112,1642,2,110.65,2025-05-20
58,338,1438,4,187.05,2025-05-20
59,68,2957,3,817.14,2025-05-20
60,451,2692,1,442.94,2025-05-20
61,340,2288,1,575.1---,2025-05-20
62,370,804,2,604.48,2025-05-20
63,151,1743,4,603.39,2025-05-20
64,375,2622,1---,360.24,2025-05-20
65,448,110,1---,459.14,2025-05-20
66,341,2855,5,389.03,2025-05-20
67,27??,2815,1,463.93,2025-05-20
68,53,199,,552.85,2025-05-20
69,466,452,,760.02,2025-05-20
70,436,2711,1,544.14,2025-05-20
71,91,2602,1,230.02,2025-05-20
72,75,2737,5,899.45,2025-05-20
73,140,407,3,822.22,2025-05-20
74,12,2635,1,810.58,2025-05-20
75,212,1591,1,952.19,2025-05-20
76,306,1836,,132.33,2025-05-20
77,322,2657,4,253.21,2025-05-20
78,257,2583,2,528.85---,2025-05-20
79,319??,541,1,690.64,2025-05-20
